code_name,course,session,num_q,num_sr,num_po
Next step,1C_L15,S1,1,0,0
Other,1C_L15,S1,1,0,0
Proof framework,1C_L15,S1,0,0,0
Warrant,1C_L15,S1,2,0,2
Total,1C_L15,S1,11,4,6
Convention,1C_L15,S10,0,0,0
Evaluation,1C_L15,S10,1,1,1
Example generation,1C_L15,S10,0,0,0
Fact,1C_L15,S10,5,3,4
Next step,1C_L15,S10,0,0,0
Other,1C_L15,S10,0,0,0
Proof framework,1C_L15,S10,0,0,0
Warrant,1C_L15,S10,1,1,1
Total,1C_L15,S10,7,5,6
Convention,1C_L15,S11,0,0,0
Evaluation,1C_L15,S11,0,0,0
Example generation,1C_L15,S11,0,0,0
Fact,1C_L15,S11,9,5,5
Next step,1C_L15,S11,0,0,0
Other,1C_L15,S11,0,0,0
Proof framework,1C_L15,S11,0,0,0
Warrant,1C_L15,S11,1,1,1
Total,1C_L15,S11,10,6,6
Convention,1C_L15,S2,0,0,0
Evaluation,1C_L15,S2,0,0,0
Example generation,1C_L15,S2,0,0,0
Fact,1C_L15,S2,3,1,2
Next step,1C_L15,S2,0,0,0
Other,1C_L15,S2,0,0,0
Proof framework,1C_L15,S2,0,0,0
Warrant,1C_L15,S2,0,0,0
Total,1C_L15,S2,3,1,2
Convention,1C_L15,S3,0,0,0
Evaluation,1C_L15,S3,2,0,2
Example generation,1C_L15,S3,0,0,0
Fact,1C_L15,S3,0,0,0
Next step,1C_L15,S3,4,1,2
Other,1C_L15,S3,0,0,0
Proof framework,1C_L15,S3,0,0,0
Warrant,1C_L15,S3,0,0,0
Total,1C_L15,S3,6,1,4
Convention,1C_L15,S4,0,0,0
Evaluation,1C_L15,S4,0,0,0
Example generation,1C_L15,S4,0,0,0
Fact,1C_L15,S4,1,1,1
Next step,1C_L15,S4,7,5,5
Other,1C_L15,S4,0,0,0
Proof framework,1C_L15,S4,0,0,0
Warrant,1C_L15,S4,4,1,2
Total,1C_L15,S4,12,7,8
Convention,1C_L15,S5,0,0,0
Evaluation,1C_L15,S5,3,3,3
Example generation,1C_L15,S5,0,0,0
Fact,1C_L15,S5,3,3,3
Next step,1C_L15,S5,13,7,8
Other,1C_L15,S5,0,0,0
Proof framework,1C_L15,S5,0,0,0
Warrant,1C_L15,S5,3,3,3
Total,1C_L15,S5,22,16,17
Convention,1C_L15,S6,0,0,0
Evaluation,1C_L15,S6,3,1,2
Example generation,1C_L15,S6,0,0,0
Fact,1C_L15,S6,3,3,3
Next step,1C_L15,S6,3,0,3
Other,1C_L15,S6,2,1,1
Proof framework,1C_L15,S6,0,0,0
Warrant,1C_L15,S6,5,2,4
Total,1C_L15,S6,16,7,13
Convention,1C_L15,S7,0,0,0
Evaluation,1C_L15,S7,4,3,3
Example generation,1C_L15,S7,0,0,0
Fact,1C_L15,S7,3,3,3
Next step,1C_L15,S7,0,0,0
Other,1C_L15,S7,2,1,2
Proof framework,1C_L15,S7,0,0,0
Warrant,1C_L15,S7,1,1,1
Total,1C_L15,S7,10,8,9
Convention,1C_L15,S8,0,0,0
Evaluation,1C_L15,S8,1,1,1
Example generation,1C_L15,S8,3,2,2
Fact,1C_L15,S8,4,3,3
Next step,1C_L15,S8,1,1,1
Other,1C_L15,S8,0,0,0
Proof framework,1C_L15,S8,0,0,0
Warrant,1C_L15,S8,3,2,2
Total,1C_L15,S8,12,9,9
Convention,1C_L15,S9,0,0,0
Evaluation,1C_L15,S9,0,0,0
Example generation,1C_L15,S9,2,2,2
Fact,1C_L15,S9,3,3,3
Next step,1C_L15,S9,0,0,0
Other,1C_L15,S9,0,0,0
Proof framework,1C_L15,S9,0,0,0
Warrant,1C_L15,S9,1,1,1
Total,1C_L15,S9,6,6,6
Convention,1C_L16,S1,0,0,0
Evaluation,1C_L16,S1,0,0,0
Example generation,1C_L16,S1,3,2,2
